EOM,idx,id,customer_id,switches,value,switch_start,switch_end
2022-01-31,1,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,2,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,3,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,4,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,5,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,6,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,7,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,8,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,9,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,10,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,11,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,12,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,13,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,14,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,15,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,16,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,17,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,18,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,19,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,20,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,21,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,22,1,1111,5,99.9,2022-01-10,2022-12-31
2022-01-31,1,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,2,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,3,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,4,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,5,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,6,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,7,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,8,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,9,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,10,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,11,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,12,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,13,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,14,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,15,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,16,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,17,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,18,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,19,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,20,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,21,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,22,18,1120,5,99.9,2022-01-10,2022-12-31
2022-01-31,1,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,2,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,3,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,4,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,5,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,6,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,7,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,8,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,9,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,10,69,1166,4,101,2022-01-10,2022-12-31
2022-01-31,11,69,1166,4,101,2022-01-10,2022-12-31
